Tarih,Dağıtılan Enerji (MWh)
2022-08-01 00:00:00,2251.4624556216163
2022-08-01 01:00:00,2012.0944669980104
2022-08-01 02:00:00,1939.2076329611132
2022-08-01 03:00:00,1852.243374489124
2022-08-01 04:00:00,1797.4057998079888
2022-08-01 05:00:00,1748.091000078845
2022-08-01 06:00:00,1615.4082814944136
2022-08-01 07:00:00,1607.216555403825
2022-08-01 08:00:00,1798.301345851264
2022-08-01 09:00:00,1938.953879759892
2022-08-01 10:00:00,2168.570777222535
2022-08-01 11:00:00,2267.5870014339253
2022-08-01 12:00:00,2334.5360480399227
2022-08-01 13:00:00,2406.422445318673
2022-08-01 14:00:00,2443.879932915019
2022-08-01 15:00:00,2460.2661899946406
2022-08-01 16:00:00,2492.155916114089
2022-08-01 17:00:00,2510.0715985077827
2022-08-01 18:00:00,2531.870790100338
2022-08-01 19:00:00,2491.8876750292293
2022-08-01 20:00:00,2501.193194813575
2022-08-01 21:00:00,2504.2277272531487
2022-08-01 22:00:00,2424.5397535858965
2022-08-01 23:00:00,2195.7543903863034
2022-08-02 00:00:00,2291.44323118578
2022-08-02 01:00:00,2020.6652660695263
2022-08-02 02:00:00,1954.713267438089
2022-08-02 03:00:00,1861.6307704935307
2022-08-02 04:00:00,1814.960538987159
2022-08-02 05:00:00,1750.7364537821115
2022-08-02 06:00:00,1638.7720815734924
2022-08-02 07:00:00,1633.8528967074149
2022-08-02 08:00:00,1804.6696186069823
2022-08-02 09:00:00,1946.1500547912003
2022-08-02 10:00:00,2176.734304097125
2022-08-02 11:00:00,2277.500054930869
2022-08-02 12:00:00,2345.020727026381
2022-08-02 13:00:00,2410.0998348770327
2022-08-02 14:00:00,2433.4064154853536
2022-08-02 15:00:00,2466.1992627882173
2022-08-02 16:00:00,2500.0049644041237
2022-08-02 17:00:00,2516.1977292454967
2022-08-02 18:00:00,2526.1712200411234
2022-08-02 19:00:00,2495.202234234175
2022-08-02 20:00:00,2486.731590651983
2022-08-02 21:00:00,2487.133617974114
2022-08-02 22:00:00,2414.3944125493263
2022-08-02 23:00:00,2189.3749702107507
2022-08-03 00:00:00,2308.245792626046
2022-08-03 01:00:00,2040.010377761795
2022-08-03 02:00:00,1976.8778081890127
2022-08-03 03:00:00,1890.4422965084452
2022-08-03 04:00:00,1835.3641684335396
2022-08-03 05:00:00,1750.794850438353
2022-08-03 06:00:00,1659.5120719877866
2022-08-03 07:00:00,1657.3248187171405
2022-08-03 08:00:00,1805.738768023812
2022-08-03 09:00:00,1957.0485258624185
2022-08-03 10:00:00,2189.527416466753
2022-08-03 11:00:00,2292.073387601916
2022-08-03 12:00:00,2356.190248006093
2022-08-03 13:00:00,2421.210691929654
2022-08-03 14:00:00,2443.871036335201
2022-08-03 15:00:00,2477.310119840839
2022-08-03 16:00:00,2519.9089109227034
2022-08-03 17:00:00,2537.9795226313904
2022-08-03 18:00:00,2529.581070487166
2022-08-03 19:00:00,2506.1508529538
2022-08-03 20:00:00,2488.88711990565
2022-08-03 21:00:00,2489.2891472277806
2022-08-03 22:00:00,2403.0735467938207
2022-08-03 23:00:00,2200.3235889303755
