Tarih,Dağıtılan Enerji (MWh)
2022-08-01 00:00:00,1934.6347344594908
2022-08-01 01:00:00,1795.0495486860923
2022-08-01 02:00:00,1631.9425677136417
2022-08-01 03:00:00,1572.5631384171577
2022-08-01 04:00:00,1542.2502294162825
2022-08-01 05:00:00,1518.3469555692868
2022-08-01 06:00:00,1534.779963966409
2022-08-01 07:00:00,1673.2809431729493
2022-08-01 08:00:00,1969.8123706415352
2022-08-01 09:00:00,2354.724058079262
2022-08-01 10:00:00,2489.0656949843024
2022-08-01 11:00:00,2581.0077673857486
2022-08-01 12:00:00,2531.0048712309867
2022-08-01 13:00:00,2615.7293635741016
2022-08-01 14:00:00,2671.2353265811066
2022-08-01 15:00:00,2680.9371200500755
2022-08-01 16:00:00,2677.9523688014415
2022-08-01 17:00:00,2615.3344115872146
2022-08-01 18:00:00,2524.530125841354
2022-08-01 19:00:00,2521.966858100808
2022-08-01 20:00:00,2509.5661807548895
2022-08-01 21:00:00,2437.5403660916536
2022-08-01 22:00:00,2332.5223914132007
2022-08-01 23:00:00,2204.3638405605648
2022-08-02 00:00:00,2087.818886545665
2022-08-02 01:00:00,1933.7750166857518
2022-08-02 02:00:00,1792.0514825783432
2022-08-02 03:00:00,1738.1773335000955
2022-08-02 04:00:00,1708.3976636418313
2022-08-02 05:00:00,1684.4943897948356
2022-08-02 06:00:00,1688.5816756706245
2022-08-02 07:00:00,1778.2334536779583
2022-08-02 08:00:00,2076.4041038521173
2022-08-02 09:00:00,2453.04169299671
2022-08-02 10:00:00,2581.8453766091175
2022-08-02 11:00:00,2664.993973211514
2022-08-02 12:00:00,2615.5805560392196
2022-08-02 13:00:00,2700.515316293156
2022-08-02 14:00:00,2758.5252375230334
2022-08-02 15:00:00,2768.2270309920023
2022-08-02 16:00:00,2765.2422797433683
2022-08-02 17:00:00,2701.1112201681576
2022-08-02 18:00:00,2608.3370928327595
2022-08-02 19:00:00,2603.8194804299906
2022-08-02 20:00:00,2597.648581428066
2022-08-02 21:00:00,2528.2463464104344
2022-08-02 22:00:00,2424.0792197725837
2022-08-02 23:00:00,2305.779308955065
2022-08-03 00:00:00,2079.642305490299
2022-08-03 01:00:00,1924.7328249769585
2022-08-03 02:00:00,1781.2415070300658
2022-08-03 03:00:00,1725.7838418930305
2022-08-03 04:00:00,1694.0746181811744
2022-08-03 05:00:00,1673.4285445616538
2022-08-03 06:00:00,1682.0135680959772
2022-08-03 07:00:00,1767.033188147697
2022-08-03 08:00:00,2060.293487471828
2022-08-03 09:00:00,2437.074966840252
2022-08-03 10:00:00,2565.8786504526593
2022-08-03 11:00:00,2650.423550490802
2022-08-03 12:00:00,2595.625117767306
2022-08-03 13:00:00,2679.179037756719
2022-08-03 14:00:00,2737.1889589865964
2022-08-03 15:00:00,2746.8907524555652
2022-08-03 16:00:00,2743.9060012069313
2022-08-03 17:00:00,2680.819887783472
2022-08-03 18:00:00,2590.73906331902
2022-08-03 19:00:00,2590.6600718765376
2022-08-03 20:00:00,2584.2995240973078
2022-08-03 21:00:00,2509.138579186881
2022-08-03 22:00:00,2401.4133720606183
2022-08-03 23:00:00,2283.6467461697694
2022-08-04 00:00:00,2079.6275268804866
2022-08-04 01:00:00,1932.7457469775525
2022-08-04 02:00:00,1784.4457584798515
2022-08-04 03:00:00,1728.9880933428162
2022-08-04 04:00:00,1697.623997083267
2022-08-04 05:00:00,1677.0561126223206
2022-08-04 06:00:00,1685.641136156644
2022-08-04 07:00:00,1770.6607562083639
2022-08-04 08:00:00,2064.2555436999837
2022-08-04 09:00:00,2442.9712477536586
2022-08-04 10:00:00,2571.3425449076426
2022-08-04 11:00:00,2657.600088416435
2022-08-04 12:00:00,2599.5890090170456
2022-08-04 13:00:00,2683.159563580869
2022-08-04 14:00:00,2741.1694848107463
2022-08-04 15:00:00,2750.871278279715
2022-08-04 16:00:00,2747.886527031081
2022-08-04 17:00:00,2682.86618892237
2022-08-04 18:00:00,2593.8071931615837
2022-08-04 19:00:00,2593.7282017191014
2022-08-04 20:00:00,2587.3676539398716
2022-08-04 21:00:00,2512.8269496090984
2022-08-04 22:00:00,2406.092560290059
2022-08-04 23:00:00,2289.3374515321316
2022-08-05 00:00:00,2041.5013127977932
2022-08-05 01:00:00,1890.268476249807
2022-08-05 02:00:00,1743.652349609367
2022-08-05 03:00:00,1686.5797973667236
2022-08-05 04:00:00,1658.6701684772524
2022-08-05 05:00:00,1628.7480015899962
2022-08-05 06:00:00,1638.4584325113467
2022-08-05 07:00:00,1722.1529690296281
2022-08-05 08:00:00,2030.3689826647635
2022-08-05 09:00:00,2403.286225025435
2022-08-05 10:00:00,2538.107443230151
2022-08-05 11:00:00,2614.7433635109305
2022-08-05 12:00:00,2561.337755648362
2022-08-05 13:00:00,2624.1704441356746
2022-08-05 14:00:00,2676.4005440979913
2022-08-05 15:00:00,2682.953227660416
2022-08-05 16:00:00,2675.5660516909834
2022-08-05 17:00:00,2617.081169611135
2022-08-05 18:00:00,2531.0297970745555
2022-08-05 19:00:00,2530.664608425569
2022-08-05 20:00:00,2524.0776314415107
2022-08-05 21:00:00,2441.4069670842932
2022-08-05 22:00:00,2331.177433398514
2022-08-05 23:00:00,2215.518028534028
2022-08-06 00:00:00,2026.4451678392563
2022-08-06 01:00:00,1879.0429337063963
2022-08-06 02:00:00,1732.8466490108797
2022-08-06 03:00:00,1669.8658147064568
2022-08-06 04:00:00,1632.1704532545705
2022-08-06 05:00:00,1593.138500540519
2022-08-06 06:00:00,1599.3033730623254
2022-08-06 07:00:00,1649.356834862318
2022-08-06 08:00:00,1894.2728863797022
2022-08-06 09:00:00,2134.432705459685
2022-08-06 10:00:00,2310.935904236502
2022-08-06 11:00:00,2444.0222161138154
2022-08-06 12:00:00,2389.449208669181
2022-08-06 13:00:00,2412.258319734218
2022-08-06 14:00:00,2447.5537893573955
2022-08-06 15:00:00,2444.97428668255
2022-08-06 16:00:00,2440.5624365471913
2022-08-06 17:00:00,2402.5413994134183
2022-08-06 18:00:00,2357.825208186221
2022-08-06 19:00:00,2365.545843919037
